,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
0,"HIDevolution ASUS ROG Mothership GZ700GX 17.3” FHD 144Hz | 2.4 GHz i9-9980HK, RTX 2080, 64GB 2666MHz RAM, 1.5TB (3 x 512GB) PCIe SSD Raid 0 w/ Hyper Drive | Authorized Performance Upgrades & Warranty",6499,ASUS,5,Intel Core i9 9th Gen,2.4,8,516,64,1650,8 GB,17.3,1.37
1,"Open Box: GIGABYTE AERO 15 Classic-YA-U96ASP 15.6"" 4K/UHD 240 Hz IPS Intel Core i9 9th Gen 9980HK (2.40 GHz) NVIDIA GeForce RTX 2080 64 GB Memory 2 TB SSD Windows 10 Pro 64-bit Gaming Laptop",4005,GIGABYTE,5,Intel Core i9 9th Gen,2.4,8,2000,64,1650,8 GB,15.6,1.34
2,"ASUS ROG G703GX Desktop Replacement Gaming Laptop, GeForce RTX 2080, 17.3” FHD 144Hz G-SYNC, Intel Core i9-8950HK CPU, 32GB DDR4, 1.5TB PCIe SSD (RAID 0), Per-Key RGB, Windows 10 Pro - G703GX-XS98K",3999.99,ASUS,5,Intel Core i9 8th Gen,2.9,6,515,32,1650,8 GB,17.3,1.86
3,"MSI GT Series GT83 TITAN-016 18.4"" IPS GTX 1070 SLI 16 GB VRAM i7-8850H 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",3989,MSI,5,Intel Core i7 8th Gen,2.6,6,1512,32,1650,16 GB (8 GB each),18.4,1.83
4,"Dell Precision 7740 17.3"" Gaming Laptop i7-9850HM 32GB 1TB SSD W10P RTX 4000",3840.99,Dell,5,-1,2.4,6,640,12,1650,12,15.6,1.37
5,"ASUS ROG Zephyrus S GX701GX-XH78 17.3"" 300 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 32 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop",3739.62,ASUS,5,Intel Core i7 9th Gen,2.6,6,1000,32,1650,8 GB,17.3,2.1
6,"MSI GT Series GT76 TITAN DT-040 17.3"" 4K/UHD IPS Intel Core i7 9th Gen 9700K (3.60 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB SSD 1 TB HDD Windows 10 Pro 64-bit Gaming Laptop",3539,MSI,5,Intel Core i7 9th Gen,3.6,8,2000,32,1650,8 GB,17.3,2.04
7,"ASUS ROG G703GX (2019) Gaming Laptop, 17.3"" FHD 144 Hz G-Sync, Overclocked GeForce RTX 2080, 9th Gen Intel Core i7-9750H, 32 GB RAM, 512 GB PCIe SSD + 1 TB SSHD, Windows 10 Pro, G703GX-XB76",3128.51,ASUS,5,Intel Core i7 9th Gen,2.6,6,1519,32,1650,8 GB,17.3,1.34
8,"Lenovo ThinkPad P53 15.6"" Gaming Laptop i9-9880H 16GB 512GB SSD W10P RTX 4000",3073.53,Lenovo,5,-1,2.4,6,640,12,1650,12,15.6,1.3
9,"Open Box: MSI GT Series GT75 TITAN 4K-012 17.3"" 4K/UHD 60 Hz IPS Intel Core i9 8th Gen 8950HK (2.90 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop",3040,MSI,5,Intel Core i9 8th Gen,2.9,6,256,16,1650,8 GB,17.3,1.6
10,MSI GT75249 17.3 in. Titan Gaming Laptop CI7-9750H 32G 512G Solid State Drive Plus 1TB Ge Force RTX2070 VR Windows 10 Pro,3020.99,MSI,5,-1,2.4,6,640,12,1650,12,17.3,1.86
11,"ROG Zephyrus S GX701 (2019) Gaming Laptop, 17.3"" 240 Hz 3 ms FHD IPS, GeForce RTX 2080, Intel Core i7-9750H Processor, 16 GB DDR4, 1 TB PCIe SSD Hyper Drive, Windows 10 Pro, GX701GX-XB78",2999.99,ASUS,5,Intel Core i7 9th Gen,2.6,6,1000,16,1650,8 GB,17.3,1.86
12,"MSI GS65 Stealth-430 - 15.6"" FHD 240Hz Ultra Thin and Light Gaming Laptop - Intel Core i7-9750H - RTX 2080 - 32GB DDR4 - 1TB NVMe SSD - Thunderbolt 3 - Windows 10 - VR Ready",2999,MSI,5,Intel Core i7 9th Gen,2.6,6,1000,32,1650,8 GB,15.6,1.83
13,"GIGABYTE AORUS 17 YA Gaming Laptop - 17.3"" FHD 240 Hz - Intel Core 9th Gen i7-9750H (2.60 GHz) - NVIDIA GeForce RTX 2080 GDDR6 8 GB - 16 GB DDR4 RAM - 1 TB M.2 PCIe SSD - Windows 10 - YA-7US2150SH",2999,Aorus,5,Intel Core i7 9th Gen,2.6,6,1000,16,1650,8 GB,17.3,2.2
14,"HIDevolution ASUS ROG G703GX 17.3"" FHD 144Hz Gaming Laptop | 2.2 GHz i7-8750H, RTX 2080, 16GB 2666MHz RAM, PCIe 512GB SSD + 1TB SSHD | Authorized Performance Upgrades & Warranty",2999,ASUS,5,Intel Core i7 8th Gen,2.2,6,1512,16,1650,8 GB,17.3,0.92
15,"Dell Precision 7540 15.6"" FHD Laptop i7-9850H 32GB 512GB SSD W10P Nvidia T1000",2962.99,Dell,5,-1,2.4,6,640,12,1650,12,15.6,1.37
16,"ROG Zephyrus S Ultra Slim Gaming Laptop, 15.6"" 144 Hz IPS-Type Full HD, GeForce RTX 2080, Intel Core i7-9750H Processor, 16 GB DDR4, 1 TB PCIe NVMe SSD, Aura Sync RGB, Windows 10 Pro, GX531GX-XB77",2927.99,ASUS,5,Intel Core i7 9th Gen,2.6,6,1000,16,1650,8 GB,15.6,2.2
