name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"HIDevolution ASUS ROG Mothership GZ700GX 17.3” FHD 144Hz | 2.4 GHz i9-9980HK, RTX 2080, 64GB 2666MHz RAM, 1.5TB (3 x 512GB) PCIe SSD Raid 0 w/ Hyper Drive | Authorized Performance Upgrades & Warranty","6,499.00",ASUS,ROG Mothership,GZ700GX-XB98K,5,Windows 10 Pro,Intel Core i9 9th Gen,9980HK (2.40 GHz),8-core Processor,1.5 TB (3 x 512 GB) M.2 PCIe 3.0 x4 NVMe SSD,64 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"Open Box: GIGABYTE AERO 15 Classic-YA-U96ASP 15.6"" 4K/UHD 240 Hz IPS Intel Core i9 9th Gen 9980HK (2.40 GHz) NVIDIA GeForce RTX 2080 64 GB Memory 2 TB SSD Windows 10 Pro 64-bit Gaming Laptop","4,005.00",GIGABYTE,,AERO 15 Classic-YA-U96ASP,,Windows 10 Pro 64-bit,Intel Core i9 9th Gen,9980HK (2.40 GHz),8-core Processor,2 TB M.2 NVMe PCIe SSD,64 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"" 4K/UHD"
"ASUS ROG G703GX Desktop Replacement Gaming Laptop, GeForce RTX 2080, 17.3” FHD 144Hz G-SYNC, Intel Core i9-8950HK CPU, 32GB DDR4, 1.5TB PCIe SSD (RAID 0), Per-Key RGB, Windows 10 Pro - G703GX-XS98K","3,999.99",ASUS,ROG,G703GX-XS98K,4,Windows 10 Pro 64-bit,Intel Core i9 8th Gen,8950HK (2.90 GHz),6-core Processor,3 x 512 GB PCIe SSD RAID 0,32 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GT Series GT83 TITAN-016 18.4"" IPS GTX 1070 SLI 16 GB VRAM i7-8850H 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG","3,989.00",MSI,GT Series,GT83 TITAN-016,4,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8850H (2.60 GHz),6-core Processor,1 TB HDD + 512 GB SSD,32 GB,NVIDIA GeForce GTX 1070 SLI,16 GB (8 GB each),"18.4"""
"Dell Precision 7740 17.3"" Gaming Laptop i7-9850HM 32GB 1TB SSD W10P RTX 4000","3,840.99",Dell,,,4,,,,,,,,,"15.6"""
"ASUS ROG Zephyrus S GX701GX-XH78 17.3"" 300 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 32 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop","3,739.62",ASUS,ROG Zephyrus S,GX701GX-XH78,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB M.2 PCIe NVMe SSD,32 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"MSI GT Series GT76 TITAN DT-040 17.3"" 4K/UHD IPS Intel Core i7 9th Gen 9700K (3.60 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB SSD 1 TB HDD Windows 10 Pro 64-bit Gaming Laptop","3,539.00",MSI,GT Series,GT76 TITAN DT-040,5,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9700K (3.60 GHz),8-core Processor,Super Raid 4 - 1 TB (512 GB x 2) NVMe SSD + 1 TB 7200 RPM HDD,32 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"" 4K/UHD"
"ASUS ROG G703GX (2019) Gaming Laptop, 17.3"" FHD 144 Hz G-Sync, Overclocked GeForce RTX 2080, 9th Gen Intel Core i7-9750H, 32 GB RAM, 512 GB PCIe SSD + 1 TB SSHD, Windows 10 Pro, G703GX-XB76","3,128.51",ASUS,ROG,G703GX-XB76,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB PCIe Gen3x4 SSD + 1 TB SSHD (8 GB Cache) FireCuda,32 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"Lenovo ThinkPad P53 15.6"" Gaming Laptop i9-9880H 16GB 512GB SSD W10P RTX 4000","3,073.53",Lenovo,,,4,,,,,,,,,"15.6"""
"Open Box: MSI GT Series GT75 TITAN 4K-012 17.3"" 4K/UHD 60 Hz IPS Intel Core i9 8th Gen 8950HK (2.90 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop","3,040.00",MSI,GT Series,GT75 TITAN 4K-012,4,Windows 10 Pro 64-bit,Intel Core i9 8th Gen,8950HK (2.90 GHz),6-core Processor,256 GB NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"" 4K/UHD"
