name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"Apple 13"" MacBook Air,Intel Core i7, 8GB RAM, 128GB SSD,Backlit Keyboard,Thunderbolt 2,SDXC card slot,Bluetooth,Webcam,Mac OS,Silver",899.99,Apple,MacBook Air,,5,Mac OS X v10.12 Sierra,Intel Core i7,2.20 GHz,,,8 GB,,,"13.0"""
"Apple MacBook Pro MLUQ2LL/A Intel Core i5-6360U 6th Gen 2.00 GHz 8 GB Memory 256 GB SSD Intel Iris Graphics 540 13.3"" Mac OS X v10.12 Sierra  Laptop","1,199.00",Apple,MacBook Pro,MLUQ2LL/A,5,Mac OS X v10.12 Sierra,Intel Core i5 6th Gen,6360U (2.00 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Graphics 540,Shared system memory,"13.3"""
"Apple Laptop MacBook Pro With Touch Bar MPXV2LL/A Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel Iris Plus Graphics 650 13.3"" Mac OS X v10.12 Sierra","1,517.64",Apple,MacBook Pro With Touch Bar,MPXV2LL/A,4,Mac OS X v10.12 Sierra,Intel Core i5 7th Gen,7200U (2.50 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Plus Graphics 650,Shared system memory,"13.3"""
"Apple 16"" MacBook Pro (2.6 GHz Intel Core i7 6-Core | 512GB SSD) (Late 2019, Space Gray)","2,258.29",,MacBook Pro,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
"Refurbished: Apple 13"" MacBook Air Retina display, 1.6GHz dual-core Intel Core i5, 128GB - Space Gray",749.00,Apple,MacBook Air,MRE82LL/A,,,Intel Core i5 8th Gen,1.60 GHz,Dual-core Processor,,,,,"13.0"""
"Apple Laptop MacBook Air (Mid 2017) MQD32LL/A Intel Core i5 5th Gen 5350U (1.80 GHz) 8 GB Memory 512 GB SSD Intel HD Graphics 6000 13.3"" Mac OS X v10.12 Sierra","1,199.95",Apple,MacBook Air (Mid 2017),MQD32LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 5th Gen,5350U (1.80 GHz),Dual-core Processor,512 GB SSD,8 GB,Intel HD Graphics 6000,Shared system memory,"13.3"""
"Refurbished: Apple MacBook Pro ME665LL/A Intel Core i7-3740QM X4 2.7GHz 16GB 512GB SSD 15.4""(Scratch & Dent)",774.97,Apple,MacBook Pro,ME665LL/A,,*Mac OS X 10.8 Mountain Lion,Intel Core i7,2.70 GHz,Quad-core Processor,512 GB,16 GB,*NVIDIA GeForce GT 650M,Dedicated 1 GB,"15.4"""
"Apple Laptop MacBook Air MJVM2LL/A 5th Generation Intel Core i5 1.6 GHz 4 GB Memory 128 GB SSD Intel HD Graphics 6000 11.6"" Mac OS X v10.10 Yosemite",699.00,Apple,MacBook Air,MJVM2LL/A,5,Mac OS X v10.10 Yosemite,Intel Core i5,1.60 GHz,Dual-core Processor,128 GB SSD,4 GB,Intel HD Graphics 6000,Shared system memory,"11.6"""
"Apple 16"" MacBook Pro (2.3 GHz Intel Core i9 8-Core | 1TB SSD) (Late 2019, Space Gray)","2,680.00",,MacBook Pro,Apple Macbook Pro 16 Inch,,,,2.3 GHz,8-core Processor,1 TB,16 GB,,4 GB,"16.0"""
"New Apple Laptop MacBook Pro MJLQ2LL/A Intel Core i7 2.20 GHz 16 GB Memory 1TB SSD 15.4"" Mac OS X v10.13 High Sierra","2,399.95",Apple,MacBook Pro,MJLQ2LL/A,,Mac OS X v10.10 Yosemite,Intel Core i7,2.20 GHz,Quad-core Processor,256 GB Flash,16 GB,,Shared system memory,"15.4"""
"Refurbished: Apple MacBook Pro 13.3"" Retina - Core i5 2.7GHz, 256GB SSD, 8GB RAM, Intel Iris Graphics 6100, MacOS Mojave v10.14 - A1502 MF839LL/A (2015)",579.00,Apple,MacBook Pro,A1502,4,Mac OS X v10.14 Mojave,Intel Core i5 5th Gen,5257U (2.70 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Graphics 6100 graphics processor,Shared,"13.3"""
"Refurbished: Apple Grade D Laptop MacBook Pro MC724LL/A Intel Core i7 2.70 GHz 4 GB Memory 500 GB HDD 13.3"" Mac OS X v10.7 Lion",250.47,Apple,MacBook Pro,MC724LL/A,,Mac OS X v10.7 Lion,Intel Core i7,2.70 GHz,Dual-core Processor,500 GB,4 GB,,,"13.3"""
"Refurbished: Apple MacBook Air 13.3"" - 5th Generation Intel Core i5 1.60GHz (turbo up to 2.70ghz), 8 GB Mem, 256 GB SSD, Intel HD Graphics 6000, macOS 10.14 Mojave - A1466 MJVE2LL/A (Early 2015) - Grade B",674.00,Apple,MacBook Air,A1466,5,Mac OS X v10.14 Mojave,Intel Core i5 5th Gen,5250U (1.60 GHz),Dual-core Processor,256 GB,8 GB,Intel HD Graphics 6000,Shared system memory,"13.3"""
"Apple NEW Apple Macbook Air 13.3"" i5 5th Gen 1.8GHz 128GB SSD 8GB RAM Mac OS X v10.12 Sierra MQD32LLA Silver",839.99,Apple,MacBook Air,MQD32LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 5th Gen,5350U (1.80 GHz),Dual-core Processor,128 GB,8 GB,Intel HD Graphics 6000,Shared system memory,"13.3"""
"Refurbished: Apple Grade D Laptop MacBook Air RRMJVR2LL/AU2-D Intel Core i7 2.20 GHz 8 GB Memory 512 GB SSD 11.6"" Mac OS X v10.10 Yosemite",441.97,Apple,MacBook Air,RRMJVR2LL/AU2-D,,Mac OS X v10.10 Yosemite,Intel Core i7,2.20 GHz,,512 GB SSD,8 GB,,,"11.6"""
Apple MacBook Pro A1278 - i5-2415M - 8GB & 750GB HDD - High Sierra - Discounted!,309.99,,,,,Mac OS X v10.13 High Sierra,Intel Core i5 2nd Gen,2.3 GHz,,,8 GB,,,"13.3"""
"Refurbished: Apple Grade A Laptop MacBook Pro (Late 2016) MLL42LL/A Intel Core i5 6th Gen 6360U (2.00 GHz) 8 GB Memory 256 GB SSD Intel Iris Graphics 540 13.3"" Mac OS X v10.12 Sierra","1,149.99",Apple,MacBook Pro (Late 2016),MLL42LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 6th Gen,6360U (2.00 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Graphics 540,Shared system memory,"13.3"""
"Apple Laptop MacBook Air MMGF2LL/A Intel Core i5 5th Gen 1.60 GHz 8 GB LPDDR3 Memory 128 GB PCIe-Based Flash Storage Intel HD Graphics 6000 13.3"" Mac OS X v10.12 Sierra (Early 2015)",849.99,Apple,MacBook Air,MMGF2LL/A,5,Mac OS X v10.12 Sierra,Intel Core i5 5th Gen,5250U (1.60 GHz),Dual-core Processor,128 GB SSD,8 GB,Intel HD Graphics 6000,Shared system memory,"13.3"""
"Apple 16"" MacBook Pro (Late 2019, Space Gray) with Airpods Pro Bundle","2,891.99",Apple,,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
"Refurbished: Apple Grade A Laptop MacBook Pro RRMJLT2LL/A-A Intel Core i7 2.5 GHz 16 GB Memory 512 GB SSD 15.4"" Mac OS X v10.10 Yosemite","1,275.00",Apple,MacBook Pro,RRMJLT2LL/A-A,,Mac OS X v10.10 Yosemite,Intel Core i7,2.5 GHz,,512 GB SSD,16 GB,,,"15.4"""
"Apple MacBook Air 13.3"" 128GB SSD, 8GB RAM 2.2Ghz Dual-Core Intel Core i7 Silver Z0UU3LL/A",845.62,Apple,MacBook Air,Z0UU3LL/A,,macOS,Intel Core i7,2.20 GHz,Dual-core Processor,128GB SSD,8 GB,,,"13.3"""
"Refurbished: Apple Grade A Laptop MacBook Pro MJLQ2LL/A Intel Core i7 2.20 GHz 16 GB Memory 512 GB SSD 15.4"" Mac OS X v10.14 Mojave","1,199.99",Apple,MacBook Pro,MJLQ2LL/A,,Mac OS X v10.14 Mojave,Intel Core i7,2.20 GHz,,512GB SSD,16 GB,,,"15.4"""
"Apple Laptop MacBook MNYG2LL/A Intel Core i5 1.30 GHz 8 GB Memory 512 GB PCIe SSD Intel HD Graphics 615 12.0"" Mac OS X v10.12 Sierra","1,199.99",Apple,MacBook,MNYG2LL/A,,Mac OS X v10.12 Sierra,Intel Core i5,1.30 GHz,Dual-core Processor,512 GB PCIe SSD,8 GB,Intel HD Graphics 615,Shared system memory,"12.0"""
"Refurbished: Apple Grade A Laptop MacBook Pro (Mid 2014) A1398 Intel Core i7 4th Gen 4770HQ (2.20 GHz) 16 GB Memory 256 GB SSD Intel Iris Pro Graphics 5200 15.4"" Mac OS X v10.12 Sierra",994.97,Apple,MacBook Pro (Mid 2014),A1398,5,Mac OS X v10.12 Sierra,Intel Core i7 4th Gen,4770HQ (2.20 GHz),Quad-core Processor,256 GB SSD,16 GB,Intel Iris Pro Graphics 5200,Shared system memory,"15.4"""
"Refurbished: Apple Grade C Laptop MacBook Pro RRMF841LL/A-C1 Intel Core i5 5th Gen 5287U (2.90 GHz) 8 GB Memory 512 GB SSD Intel Iris Graphics 6100 13.3"" Mac OS X v10.10 Yosemite",609.99,Apple,MacBook Pro,RRMF841LL/A-C1,,Mac OS X v10.10 Yosemite,Intel Core i5 5th Gen,5287U (2.90 GHz),Dual-core Processor,512 GB SSD,8 GB,Intel Iris Graphics 6100,Shared system memory,"13.3"""
"Refurbished: Apple Grade C Laptop MacBook Air RRMJVM2LL/AU1-C Intel Core i5 1.60 GHz 8 GB Memory 256 GB SSD 11.6"" Mac OS X v10.10 Yosemite",409.99,Apple,MacBook Air,RRMJVM2LL/AU1-C,,Mac OS X v10.10 Yosemite,Intel Core i5,1.60 GHz,,256 GB SSD,8 GB,,,"11.6"""
"Apple Laptop MacBook Pro MR932LL/A Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB SSD AMD Radeon Pro 555X 15.4"" macOS High Sierra","2,099.00",Apple,MacBook Pro,MR932LL/A,,macOS High Sierra,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,256 GB SSD,16 GB,AMD Radeon Pro 555X,4 GB,"15.4"""
