,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
0,"ASUS ZenBook 14 UX431FN-IH74 Ultra-thin and Light 14-inch FHD Laptop, Intel Core i7-8565U, 16 GB RAM, 512 GB PCIE SSD, GeForce MX150, Windows 10, Silver Blue",879.99,ASUS,5,Intel Core i7 8th Gen,1.8,4,2515,16,NVIDIA GeForce MX150,2 GB,14,1.37
1,"HP Laptop ProBook 640 G2 7VJ88UT#ABA Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",519.99,HP,5,Intel Core i7 8th Gen,2.4,2,256,8,Intel HD Graphics 520,Shared system memory,14,1.34
2,"Microsoft Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16 GB Memory - 512 GB Solid State Drive (Latest Model) - Matte Black",1775,Microsoft,-1,Intel Core i7 10th Gen,1.3,4,512,16,Intel Iris Plus Graphics,Shared system memory,13.5,1.86
3,"ASUS Laptop VivoBook F512DA-EB51 AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit",519.99,ASUS,5,AMD Ryzen 5 2nd Gen,2.1,4,2259,8,AMD Radeon Vega 8,Shared system memory,15.6,1.83
4,"Acer Laptop Aspire 5 A515-54G-54QQ Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)",594.99,Acer,4,Intel Core i5 8th Gen,1.6,4,512,8,NVIDIA GeForce MX250,2 GB,15.6,1.37
5,"ASUS VivoBook S15 S512 Thin and Light 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 256 GB SSD, Windows 10 Home, S512FA-DB51, Silver Metal",677.99,ASUS,5,Intel Core i5 8th Gen,1.6,4,2259,8,Intel UHD Graphics 620,Shared system memory,15.6,2.1
6,"SAMSUNG Laptop Notebook 9 NP900X5T-K01US Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.0"" Windows 10 Home 64-Bit",1249.99,SAMSUNG,5,Intel Core i7 8th Gen,1.8,4,256,8,Intel UHD Graphics 620,Shared system memory,15,2.04
7,"Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit - OEM",464.99,Lenovo,4,AMD Ryzen 5 2nd Gen,2.1,4,256,8,AMD Radeon Vega 8,Shared system memory,15.6,1.34
8,"Lenovo Laptop ThinkPad E590 20NB005MUS Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 500 GB HDD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",559.99,Lenovo,5,Intel Core i5 8th Gen,1.6,4,500,4,Intel UHD Graphics 620,Shared system memory,15.6,1.3
9,"Asus Zenbook Flip 14"" FHD (1920x1080) Touch 2-in-1 Business Laptop (Intel Quad Core i7-8565U, 16GB RAM, 512GB PCIe M.2 SSD) Backlit, Fingerprint, Type-C, Bluetooth 5.0, Windows 10",1099.99,ASUS,-1,Intel Core i7 8th Gen,1.8,4,512,16,Intel UHD Graphics 620,-1,14,1.6
10,"Asus Zenbook Flip 14"" FHD (1920x1080) Touch 2-in-1 Business Laptop (Intel Quad Core i7-8565U, 16GB RAM, 512GB PCIe M.2 SSD) Backlit, Fingerprint, Type-C, Bluetooth 5.0, Windows 10",1199.99,ASUS,-1,Intel Core i7 8th Gen,1.8,4,512,16,Intel UHD Graphics 620,-1,14,1.86
11,"Lenovo Laptop ThinkPad E495 20NE0001US AMD Ryzen 7 2nd Gen 3700U (2.30 GHz) 8 GB Memory 256 GB SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Pro 64-bit",554.99,ASUS,-1,-1,2.3,4,256,8,-1,-1,14,1.86
12,"HP Laptop ProBook 450 G6 5YH15UT#ABA Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce MX130 15.6"" Windows 10 Pro 64-bit",849.99,HP,5,Intel Core i7 8th Gen,1.8,4,256,16,NVIDIA GeForce MX130,2 GB,15.6,1.83
13,"ASUS VivoBook S15 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-YL, Portable IPS Full HD NanoEdge Bezel Laptop, Backlit Keyboard",615,ASUS,4,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,15.6,2.2
14,"ASUS VivoBook S15 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-GN, Portable IPS Full HD NanoEdge Bezel Laptop, Backlit Keyboard",649,ASUS,4,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,15.6,0.92
15,"ASUS VivoBook S15 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-RD, Portable IPS Full HD NanoEdge Bezel Laptop, Backlit Keyboard",597,ASUS,-1,-1,1.6,4,256,8,-1,-1,15.6,1.37
16,"ASUS VivoBook S15, 15.6"" Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51, Full HD NanoEdge Bezel,  Gun Metal with Light Grey Trim Slim and Portable Laptop,",603.99,ASUS,4,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,15.6,2.2
17,"Lenovo Laptop IdeaPad S540 81NH0019US AMD Ryzen 7 2nd Gen 3700U (2.30 GHz) 12 GB Memory 512 GB SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Home 64-bit",779.99,Lenovo,4,AMD Ryzen 7 2nd Gen,2.3,4,512,12,AMD Radeon RX Vega 10,Shared system memory,14,1.83
18,"HP Laptop EliteBook 745 G5 (4JB90UT#ABA) AMD Ryzen 7 1st Gen 2700U (2.20 GHz) 8 GB Memory 256 GB PCIe NVMe SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Pro 64-Bit",634.04,HP,5,AMD Ryzen 7 1st Gen,2.2,4,256,8,AMD Radeon RX Vega 10,Shared system memory,14,2.2
19,"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 512 GB SSD, Windows 10 Home, S532FA-DB55-PK, Punk Pink",799.99,ASUS,4,Intel Core i5 8th Gen,1.6,4,2515,8,Intel UHD Graphics 620,Shared system memory,15.6,1.22
20,"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 512 GB SSD, Windows 10 Home, S532FA-DB55-GN, Moss Green",799.99,ASUS,4,Intel Core i5 8th Gen,1.6,4,2515,8,Intel UHD Graphics 620,Shared system memory,15.6,0.98
21,"Lenovo Laptop ThinkPad E585 20KV000WUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Pro 64-bit",514.99,Lenovo,4,AMD Ryzen 5 1st Gen,2,4,256,8,AMD Radeon Vega 8,Shared system memory,15.6,2.5
22,"ASUS VivoBook S15 S532 Thin & Light 15.6"" FHD, Intel Core i7-8565U CPU, GeForce MX250, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S532FA-EB71, Transparent Silver",899.99,ASUS,4,Intel Core i7 8th Gen,1.8,4,2259,8,NVIDIA GeForce MX250,2 GB,15.6,1.86
