name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"ASUS ZenBook 14 UX431FN-IH74 Ultra-thin and Light 14-inch FHD Laptop, Intel Core i7-8565U, 16 GB RAM, 512 GB PCIE SSD, GeForce MX150, Windows 10, Silver Blue",879.99,ASUS,ZenBook,UX431FN-IH74,5,Windows 10 Home 64-bit,,8565U (1.80 GHz),Quad-core Processor,512 GB M.2 PCIe Gen3x2 NVMe SSD,16 GB LPDDR3,NVIDIA GeForce MX150,2 GB,"14.0"""
"HP Laptop ProBook 640 G2 7VJ88UT#ABA Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",519.99,HP,ProBook 640 G2,7VJ88UT#ABA,5,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,6300U (2.40 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel HD Graphics 520,Shared system memory,"14.0"""
"Microsoft Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i7 - 16 GB Memory - 512 GB Solid State Drive (Latest Model) - Matte Black","1,775.00",Microsoft,Surface Laptop 3,VGS-00022,,Windows 10 Home 64-bit,Intel Core i7 10th Gen,1065G7 (1.30 GHz),Quad-core Processor,512 GB SSD,16 GB LPDDR4X,Intel Iris Plus Graphics,Shared system memory,"13.5"""
"ASUS Laptop VivoBook F512DA-EB51 AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit",519.99,ASUS,VivoBook,F512DA-EB51,5,Windows 10 Home 64-bit,AMD Ryzen 5 2nd Gen,3500U (2.10 GHz),Quad-core Processor,256 GB PCIe G3x2 SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"Acer Laptop Aspire 5 A515-54G-54QQ Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)",594.99,Acer,Aspire 5,A515-54G-54QQ,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,512 GB PCIe NVMe SSD,8 GB,NVIDIA GeForce MX250,2 GB,"15.6"""
"ASUS VivoBook S15 S512 Thin and Light 15.6"" FHD, Intel Core i5-8265U CPU, 8 GB DDR4 RAM, PCIe NVMe 256 GB SSD, Windows 10 Home, S512FA-DB51, Silver Metal",677.99,ASUS,VivoBook S15,S512FA-DB51,5,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"SAMSUNG Laptop Notebook 9 NP900X5T-K01US Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.0"" Windows 10 Home 64-Bit",1249.99,SAMSUNG,Notebook 9,NP900X5T-K01US,5,Windows 10 Home 64-Bit,Intel Core i7 8th Gen,8550U (1.80 GHz),Quad-core Processor,256 GB SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.0"""
"Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit - OEM",464.99,Lenovo,IdeaPad L340,81LW000DUS,4,Windows 10 Home 64-bit,AMD Ryzen 5 2nd Gen,3500U (2.10 GHz),Quad-core Processor,256 GB SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"Lenovo Laptop ThinkPad E590 20NB005MUS Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 500 GB HDD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",559.99,Lenovo,ThinkPad E590,20NB005MUS,5,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,500 GB,4 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"Asus Zenbook Flip 14"" FHD (1920x1080) Touch 2-in-1 Business Laptop (Intel Quad Core i7-8565U, 16GB RAM, 512GB PCIe M.2 SSD) Backlit, Fingerprint, Type-C, Bluetooth 5.0, Windows 10","1,099.99",,ZenBook,,,Windows 10 Home,Intel Core i7 8th Gen,1.80 GHz,Quad-core Processor,512 GB M.2 PCIe SSD,16 GB,Intel UHD Graphics 620,,"14.0"""
